股票代號,股票名稱,年度,除息日,每單位配發金額(元),收益分配基準日,發放月份_x,分類標籤,發放月份_y,收盤價
934,中信成長高股息,2024,2024/11/18,0.115,2024/11/24,7,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",17.02
934,中信成長高股息,2024,2024/10/17,0.139,2024/10/23,6,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",17.02
934,中信成長高股息,2024,2024/9/18,0.142,2024/9/24,5,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",17.02
934,中信成長高股息,2024,2024/8/16,0.14,2024/8/24,4,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",17.02
934,中信成長高股息,2024,2024/7/16,0.33,2024/7/22,3,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",18.96
935,野村臺灣新科技50,2024,2024/9/18,0.6,2024/9/24,2,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",18.96
936,台新永續高息中小,2024,2025/1/16,0.05,2025/1/22,1,不定期,"1, 7, 8, 9, 10, 11, 12",18.96
936,台新永續高息中小,2024,2024/12/16,0.05,2024/12/22,12,不定期,"1, 7, 8, 9, 10, 11, 12",18.96
936,台新永續高息中小,2024,2024/11/15,0.05,2024/11/23,11,不定期,"1, 7, 8, 9, 10, 11, 12",18.96
936,台新永續高息中小,2024,2024/10/16,0.08,2024/10/22,10,不定期,"1, 7, 8, 9, 10, 11, 12",18.96
936,台新永續高息中小,2024,2024/9/16,0.08,2024/9/23,9,不定期,"1, 7, 8, 9, 10, 11, 12",18.96
936,台新永續高息中小,2024,2024/8/15,0.16,2024/8/21,8,不定期,"1, 7, 8, 9, 10, 11, 12",22.77
936,台新永續高息中小,2024,2024/7/15,0.16,2024/7/21,7,不定期,"1, 7, 8, 9, 10, 11, 12",15.73
936,台新永續高息中小,2024,2024/6/18,0.25,2024/6/24,9,一年配,9,15.73
936,台新永續高息中小,2024,2024/5/16,0.16,2024/5/22,1,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.73
936,台新永續高息中小,2024,2024/4/17,0.11,2024/4/23,12,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.73
00937B,群益ESG投等債20+,2024,2025/1/22,0.082,2025/1/28,11,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.73
00937B,群益ESG投等債20+,2024,2024/12/20,0.082,2024/12/28,10,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.73
00937B,群益ESG投等債20+,2024,2024/11/21,0.082,2024/11/27,9,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.73
00937B,群益ESG投等債20+,2024,2024/10/22,0.082,2024/10/28,8,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.73
00937B,群益ESG投等債20+,2024,2024/9/23,0.082,2024/9/29,7,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.73
00937B,群益ESG投等債20+,2024,2024/8/21,0.082,2024/8/27,6,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",15.73
00937B,群益ESG投等債20+,2024,2024/7/19,0.084,2024/7/27,5,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
00937B,群益ESG投等債20+,2024,2024/6/24,0.084,2024/6/30,4,不定期,"1, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
00937B,群益ESG投等債20+,2024,2024/5/17,0.084,2024/5/25,1,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
00937B,群益ESG投等債20+,2024,2024/4/18,0.084,2024/4/24,12,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
00937B,群益ESG投等債20+,2024,2024/3/18,0.084,2024/3/24,11,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
00937B,群益ESG投等債20+,2024,2024/2/27,0.084,2024/3/5,10,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
939,統一台灣高息動能,2024,2024/12/31,0.05,2025/1/7,9,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
939,統一台灣高息動能,2024,2024/12/3,0.063,2024/12/9,8,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
939,統一台灣高息動能,2024,2024/11/1,0.063,2024/11/8,7,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
939,統一台灣高息動能,2024,2024/10/4,0.063,2024/10/8,6,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
939,統一台灣高息動能,2024,2024/9/3,0.063,2024/9/9,5,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
939,統一台灣高息動能,2024,2024/8/1,0.063,2024/8/9,4,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",16.11
940,元大台灣價值高息,2024,2025/1/2,0.03,2025/1/8,3,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",14.4
940,元大台灣價值高息,2024,2024/12/11,0.04,2024/12/17,2,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",14.4
940,元大台灣價值高息,2024,2024/11/7,0.04,2024/11/13,12,不定期,"8, 9, 10, 11, 12",14.4
940,元大台灣價值高息,2024,2024/10/9,0.05,2024/10/16,12,不定期,"8, 9, 10, 11, 12",14.4
940,元大台灣價值高息,2024,2024/9/5,0.05,2024/9/11,11,不定期,"8, 9, 10, 11, 12",14.4
940,元大台灣價值高息,2024,2024/8/8,0.05,2024/8/14,10,不定期,"8, 9, 10, 11, 12",14.4
940,元大台灣價值高息,2024,2024/7/11,0.05,2024/7/17,9,不定期,"8, 9, 10, 11, 12",9.56
00942B,台新美A公司債20+,2024,2025/1/16,0.07,2025/1/22,8,不定期,"8, 9, 10, 11, 12",9.56
00942B,台新美A公司債20+,2024,2024/12/16,0.07,2024/12/22,1,不定期,"1, 7, 8, 9, 10, 11, 12",9.56
00942B,台新美A公司債20+,2024,2024/11/15,0.07,2024/11/23,12,不定期,"1, 7, 8, 9, 10, 11, 12",9.56
00942B,台新美A公司債20+,2024,2024/10/21,0.068,2024/10/27,11,不定期,"1, 7, 8, 9, 10, 11, 12",9.56
00942B,台新美A公司債20+,2024,2024/9/18,0.07,2024/9/24,10,不定期,"1, 7, 8, 9, 10, 11, 12",9.56
00942B,台新美A公司債20+,2024,2024/8/16,0.07,2024/8/24,9,不定期,"1, 7, 8, 9, 10, 11, 12",9.56
00942B,台新美A公司債20+,2024,2024/7/16,0.07,2024/7/22,8,不定期,"1, 7, 8, 9, 10, 11, 12",15.5
00942B,台新美A公司債20+,2024,2024/6/18,0.1,2024/6/24,7,不定期,"1, 7, 8, 9, 10, 11, 12",15.5
943,兆豐電子高息等權,2024,2025/1/17,0.018,2025/1/25,1,不定期,"1, 6, 7, 8, 9, 10, 11, 12",15.5
943,兆豐電子高息等權,2024,2024/12/17,0.025,2024/12/23,12,不定期,"1, 6, 7, 8, 9, 10, 11, 12",15.5
943,兆豐電子高息等權,2024,2024/11/19,0.15,2024/11/25,11,不定期,"1, 6, 7, 8, 9, 10, 11, 12",15.5
943,兆豐電子高息等權,2024,2024/10/17,0.15,2024/10/25,10,不定期,"1, 6, 7, 8, 9, 10, 11, 12",15.5
943,兆豐電子高息等權,2024,2024/9/18,0.15,2024/9/24,9,不定期,"1, 6, 7, 8, 9, 10, 11, 12",15.5
944,野村趨勢動能高息,2024,2025/1/17,0.058,2025/1/25,8,不定期,"1, 6, 7, 8, 9, 10, 11, 12",15.5
944,野村趨勢動能高息,2024,2024/12/17,0.058,2024/12/23,7,不定期,"1, 6, 7, 8, 9, 10, 11, 12",15
944,野村趨勢動能高息,2024,2024/11/18,0.058,2024/11/24,6,不定期,"1, 6, 7, 8, 9, 10, 11, 12",15
944,野村趨勢動能高息,2024,2024/10/17,0.058,2024/10/25,1,不定期,"1, 9, 10, 11, 12",15
944,野村趨勢動能高息,2024,2024/9/18,0.058,2024/9/24,12,不定期,"1, 9, 10, 11, 12",15
944,野村趨勢動能高息,2024,2024/8/16,0.058,2024/8/24,11,不定期,"1, 9, 10, 11, 12",15
944,野村趨勢動能高息,2024,2024/7/16,0.058,2024/7/22,10,不定期,"1, 9, 10, 11, 12",14.98
00945B,凱基美國非投等債,2024,2025/1/17,0.1,2025/1/25,9,不定期,"1, 9, 10, 11, 12",14.98
00945B,凱基美國非投等債,2024,2024/12/17,0.102,2024/12/23,1,不定期,"1, 7, 8, 9, 10, 11, 12",14.98
00945B,凱基美國非投等債,2024,2024/11/18,0.102,2024/11/24,12,不定期,"1, 7, 8, 9, 10, 11, 12",14.98
00945B,凱基美國非投等債,2024,2024/10/21,0.102,2024/10/27,11,不定期,"1, 7, 8, 9, 10, 11, 12",14.98
00945B,凱基美國非投等債,2024,2024/9/19,0.102,2024/9/25,10,不定期,"1, 7, 8, 9, 10, 11, 12",14.98
00945B,凱基美國非投等債,2024,2024/8/16,0.102,2024/8/24,9,不定期,"1, 7, 8, 9, 10, 11, 12",14.98
00945B,凱基美國非投等債,2024,2024/7/16,0.102,2024/7/22,8,不定期,"1, 7, 8, 9, 10, 11, 12",15.53
946,群益科技高息成長,2024,2025/1/8,0.041,2025/1/14,7,不定期,"1, 7, 8, 9, 10, 11, 12",15.53
946,群益科技高息成長,2024,2024/12/6,0.041,2024/12/14,1,不定期,"1, 7, 8, 9, 10, 11, 12",15.53
946,群益科技高息成長,2024,2024/11/7,0.054,2024/11/13,12,不定期,"1, 7, 8, 9, 10, 11, 12",15.53
946,群益科技高息成長,2024,2024/10/8,0.054,2024/10/14,11,不定期,"1, 7, 8, 9, 10, 11, 12",15.53
946,群益科技高息成長,2024,2024/9/6,0.054,2024/9/14,10,不定期,"1, 7, 8, 9, 10, 11, 12",15.53
946,群益科技高息成長,2024,2024/8/7,0.067,2024/8/13,9,不定期,"1, 7, 8, 9, 10, 11, 12",15.53
00948B,中信優息投資級債,2024,2025/1/17,0.042,2025/1/25,8,不定期,"1, 7, 8, 9, 10, 11, 12",9.62
00948B,中信優息投資級債,2024,2024/12/17,0.052,2024/12/23,7,不定期,"1, 7, 8, 9, 10, 11, 12",9.62
00948B,中信優息投資級債,2024,2024/11/18,0.052,2024/11/24,1,不定期,"1, 8, 9, 10, 11, 12",9.62
00948B,中信優息投資級債,2024,2024/10/17,0.053,2024/10/23,12,不定期,"1, 8, 9, 10, 11, 12",9.62
00948B,中信優息投資級債,2024,2024/9/18,0.053,2024/9/24,11,不定期,"1, 8, 9, 10, 11, 12",9.62
00948B,中信優息投資級債,2024,2024/8/16,0.055,2024/8/24,10,不定期,"1, 8, 9, 10, 11, 12",9.62
00950B,凱基A級公司債,2024,2025/1/2,0.08,2025/1/8,9,不定期,"1, 8, 9, 10, 11, 12",10.23
00950B,凱基A級公司債,2024,2024/12/3,0.08,2024/12/9,8,不定期,"1, 8, 9, 10, 11, 12",10.23
00950B,凱基A級公司債,2024,2024/11/1,0.082,2024/11/6,1,不定期,"1, 8, 9, 10, 11, 12",10.23
00953B,群益優選非投等債,2024,2025/1/8,0.07,2025/1/14,12,不定期,"1, 8, 9, 10, 11, 12",10.23
00953B,群益優選非投等債,2024,2024/12/6,0.07,2024/12/14,11,不定期,"1, 8, 9, 10, 11, 12",10.23
00953B,群益優選非投等債,2024,2024/11/7,0.07,2024/11/13,10,不定期,"1, 8, 9, 10, 11, 12",10.23
956,中信日經高股息,2024,2025/1/17,0.11,2025/1/25,9,不定期,"1, 8, 9, 10, 11, 12",15.13
00957B,兆豐US優選投等債,2024,2025/1/17,0.072,2025/1/25,8,不定期,"1, 8, 9, 10, 11, 12",15.13
00958B,永豐ESG銀行債15+,2024,2025/1/22,0.042,2025/1/28,1,不定期,"1, 11, 12",15.13
00958B,永豐ESG銀行債15+,2024,2024/12/24,0.042,2024/12/30,12,不定期,"1, 11, 12",10.34
00958B,永豐ESG銀行債15+,2024,2024/11/26,0.042,2024/12/2,11,不定期,"1, 11, 12",10.34
00959B,大華投等美債15Y+,2024,2025/1/3,0.052,2025/1/11,1,不定期,"1, 11, 12",10.34
00959B,大華投等美債15Y+,2024,2024/12/4,0.052,2024/12/10,12,不定期,"1, 11, 12",10.21
00959B,大華投等美債15Y+,2024,2024/11/1,0.055,2024/11/6,11,不定期,"1, 11, 12",14.77
960,野村全球航運龍頭,2024,2025/1/17,0.18,2025/1/25,1,一年配,1,9.78
