股票代號,股票名稱,年度,除息日,每單位配發金額(元),收益分配基準日,發放月份_x,分類標籤,發放月份_y,收盤價
00720B,元大投資級公司債,2024,2024/10/17,0.51,2024/10/23,10,季配息,"1, 4, 7, 10",20.65
00720B,元大投資級公司債,2024,2024/7/16,0.52,2024/7/22,7,季配息,"1, 4, 7, 10",32.3
00720B,元大投資級公司債,2024,2024/4/18,0.51,2024/4/24,4,季配息,"1, 4, 7, 10",32.3
00722B,群益投資級電信債,2024,2025/1/22,0.55,2025/1/28,1,季配息,"1, 4, 7, 10",32.3
00722B,群益投資級電信債,2024,2024/10/22,0.53,2024/10/28,10,季配息,"1, 4, 7, 10",32.3
00722B,群益投資級電信債,2024,2024/7/19,0.521,2024/7/27,7,季配息,"1, 4, 7, 10",35.91
00722B,群益投資級電信債,2024,2024/4/18,0.477,2024/4/24,4,季配息,"1, 4, 7, 10",35.91
00723B,群益投資級科技債,2024,2025/1/22,0.46,2025/1/28,1,季配息,"1, 4, 7, 10",35.91
00723B,群益投資級科技債,2024,2024/10/22,0.442,2024/10/28,10,季配息,"1, 4, 7, 10",35.91
00723B,群益投資級科技債,2024,2024/7/19,0.44,2024/7/27,7,季配息,"1, 4, 7, 10",39.3
00723B,群益投資級科技債,2024,2024/4/18,0.413,2024/4/24,4,季配息,"1, 4, 7, 10",39.3
00724B,群益投資級金融債,2024,2025/1/22,0.499,2025/1/28,1,季配息,"1, 4, 7, 10",39.3
00724B,群益投資級金融債,2024,2024/10/22,0.473,2024/10/28,10,季配息,"1, 4, 7, 10",39.3
00724B,群益投資級金融債,2024,2024/7/19,0.476,2024/7/27,7,季配息,"1, 4, 7, 10",34.23
00724B,群益投資級金融債,2024,2024/4/18,0.451,2024/4/24,4,季配息,"1, 4, 7, 10",34.23
00725B,國泰投資級公司債,2024,2025/1/17,0.662,2025/1/25,1,季配息,"1, 4, 7, 10",34.23
00725B,國泰投資級公司債,2024,2024/10/17,0.685,2024/10/25,10,季配息,"1, 4, 7, 10",34.23
00725B,國泰投資級公司債,2024,2024/7/16,0.658,2024/7/22,7,季配息,"1, 4, 7, 10",35.78
00725B,國泰投資級公司債,2024,2024/4/18,0.56,2024/4/26,4,季配息,"1, 4, 7, 10",35.78
00726B,國泰新興投等債,2024,2025/1/17,0.6,2025/1/25,1,半年配,"4, 7",35.78
00726B,國泰新興投等債,2024,2024/10/17,0.62,2024/10/25,1,半年配,"1, 10",35.78
00726B,國泰5Y+新興債,2024,2024/7/16,0.59,2024/7/22,10,半年配,"4, 7",38.12
00726B,國泰5Y+新興債,2024,2024/4/18,0.51,2024/4/26,10,半年配,"1, 10",38.12
00727B,國泰優選非投等債,2024,2025/1/17,0.57,2025/1/25,7,半年配,"4, 7",38.12
00727B,國泰優選非投等債,2024,2024/10/17,0.57,2024/10/25,7,半年配,"1, 10",38.12
00727B,國泰1-5Y非投等債,2024,2024/4/18,0.48,2024/4/26,4,半年配,"4, 7",34.37
00727B,國泰1-5Y非投等債,2024,2024/7/16,0.57,2024/7/22,4,半年配,"1, 10",34.37
728,第一金工業30,2024,2024/12/19,0.771,2024/12/27,1,半年配,"4, 7",34.37
730,富邦臺灣優質高息,2024,2025/1/17,0.086,2025/1/25,1,半年配,"1, 10",34.37
730,富邦臺灣優質高息,2024,2024/12/17,0.086,2024/12/23,10,半年配,"4, 7",41.6
730,富邦臺灣優質高息,2024,2024/10/17,1.3,2024/10/23,10,半年配,"1, 10",41.6
731,復華富時高息低波,2024,2024/11/19,2.38,2024/11/25,4,半年配,"4, 7",41.6
731,復華富時高息低波,2024,2024/8/20,3.38,2024/8/26,4,半年配,"1, 10",41.6
731,復華富時高息低波,2024,2024/5/21,3.38,2024/5/27,7,半年配,"4, 7",32.65
731,復華富時高息低波,2024,2024/2/29,1.21,2024/3/6,7,半年配,"1, 10",23.9
733,富邦臺灣中小,2024,2024/10/17,1.321,2024/10/23,12,一年配,12,23.9
733,富邦臺灣中小,2024,2024/4/18,5.153,2024/4/24,1,不定期,"1, 10, 12",23.9
00734B,台新JPM新興債,2024,2025/1/16,0.16,2025/1/22,12,不定期,"1, 10, 12",68.3
00734B,台新JPM新興債,2024,2024/10/21,0.16,2024/10/27,10,不定期,"1, 10, 12",68.3
00734B,台新JPM新興債,2024,2024/7/16,0.16,2024/7/22,11,季配息,"2, 5, 8, 11",68.3
00734B,台新JPM新興債,2024,2024/4/17,0.18,2024/4/23,8,季配息,"2, 5, 8, 11",68.3
735,國泰臺韓科技,2024,2025/1/17,0.17,2025/1/25,5,季配息,"2, 5, 8, 11",50.7
735,國泰臺韓科技,2024,2024/7/16,2.73,2024/7/22,2,季配息,"2, 5, 8, 11",50.7
736,國泰新興市場,2024,2025/1/17,0.27,2025/1/25,10,半年配,"4, 10",15.76
736,國泰新興市場,2024,2024/7/16,0.13,2024/7/22,4,半年配,"4, 10",15.76
739,元大MSCI A股,2024,2024/10/17,0.5,2024/10/23,1,季配息,"1, 4, 7, 10",15.76
00740B,富邦全球投等債,2024,2025/1/17,0.196,2025/1/25,10,季配息,"1, 4, 7, 10",15.76
00740B,富邦全球投等債,2024,2024/12/17,0.2,2024/12/23,7,季配息,"1, 4, 7, 10",33.37
00740B,富邦全球投等債,2024,2024/11/18,0.213,2024/11/24,4,季配息,"1, 4, 7, 10",33.37
00740B,富邦全球投等債,2024,2024/10/17,0.229,2024/10/23,1,半年配,"1, 7",24.03
00740B,富邦全球投等債,2024,2024/9/18,0.229,2024/9/24,7,半年配,"1, 7",24.03
00740B,富邦全球投等債,2024,2024/8/16,0.229,2024/8/24,1,半年配,"1, 7",23.08
00740B,富邦全球投等債,2024,2024/7/16,0.556,2024/7/22,7,半年配,"1, 7",41.36
00740B,富邦全球投等債,2024,2024/4/18,0.482,2024/4/24,10,一年配,10,41.36
00741B,富邦全球非投等債,2024,2025/1/17,0.217,2025/1/25,1,不定期,"1, 4, 7, 8, 9, 10, 11, 12",41.36
00741B,富邦全球非投等債,2024,2024/12/17,0.201,2024/12/23,12,不定期,"1, 4, 7, 8, 9, 10, 11, 12",41.36
00741B,富邦全球非投等債,2024,2024/11/18,0.277,2024/11/24,11,不定期,"1, 4, 7, 8, 9, 10, 11, 12",41.36
00741B,富邦全球非投等債,2024,2024/10/17,0.277,2024/10/23,10,不定期,"1, 4, 7, 8, 9, 10, 11, 12",41.36
00741B,富邦全球非投等債,2024,2024/9/18,0.277,2024/9/24,9,不定期,"1, 4, 7, 8, 9, 10, 11, 12",41.36
00741B,富邦全球非投等債,2024,2024/8/16,0.277,2024/8/24,8,不定期,"1, 4, 7, 8, 9, 10, 11, 12",41.36
00741B,富邦全球非投等債,2024,2024/7/16,0.476,2024/7/22,7,不定期,"1, 4, 7, 8, 9, 10, 11, 12",39.78
00741B,富邦全球非投等債,2024,2024/4/18,0.459,2024/4/24,4,不定期,"1, 4, 7, 8, 9, 10, 11, 12",39.78
00746B,富邦A級公司債,2024,2025/1/17,0.425,2025/1/25,1,不定期,"1, 4, 7, 8, 9, 10, 11, 12",39.78
00746B,富邦A級公司債,2024,2024/10/17,0.422,2024/10/23,12,不定期,"1, 4, 7, 8, 9, 10, 11, 12",39.78
00746B,富邦A級公司債,2024,2024/7/16,0.445,2024/7/22,11,不定期,"1, 4, 7, 8, 9, 10, 11, 12",39.78
00746B,富邦A級公司債,2024,2024/4/18,0.406,2024/4/24,10,不定期,"1, 4, 7, 8, 9, 10, 11, 12",39.78
00749B,凱基新興債10+,2024,2025/1/17,0.44,2025/1/25,9,不定期,"1, 4, 7, 8, 9, 10, 11, 12",39.78
00749B,凱基新興債10+,2024,2024/10/21,0.435,2024/10/27,8,不定期,"1, 4, 7, 8, 9, 10, 11, 12",39.78
00749B,凱基新興債10+,2024,2024/7/16,0.435,2024/7/22,7,不定期,"1, 4, 7, 8, 9, 10, 11, 12",37.68
00749B,凱基新興債10+,2024,2024/4/18,0.435,2024/4/24,4,不定期,"1, 4, 7, 8, 9, 10, 11, 12",37.68
00750B,凱基科技債10+,2024,2025/1/17,0.395,2025/1/25,1,季配息,"1, 4, 7, 10",37.68
00750B,凱基科技債10+,2024,2024/10/21,0.37,2024/10/27,10,季配息,"1, 4, 7, 10",37.68
00750B,凱基科技債10+,2024,2024/7/16,0.38,2024/7/22,7,季配息,"1, 4, 7, 10",32.21
00750B,凱基科技債10+,2024,2024/4/18,0.435,2024/4/24,4,季配息,"1, 4, 7, 10",32.21
00751B,元大AAA至A公司債,2024,2024/12/17,0.46,2024/12/23,1,季配息,"1, 4, 7, 10",32.21
00751B,元大AAA至A公司債,2024,2024/9/18,0.46,2024/9/24,10,季配息,"1, 4, 7, 10",32.21
00751B,元大AAA至A公司債,2024,2024/6/20,0.47,2024/6/26,7,季配息,"1, 4, 7, 10",36.1
00751B,元大AAA至A公司債,2024,2024/3/18,0.44,2024/3/24,4,季配息,"1, 4, 7, 10",36.1
00754B,群益AAA-AA公司債,2024,2024/11/21,0.45,2024/11/27,1,季配息,"1, 4, 7, 10",36.1
00754B,群益AAA-AA公司債,2024,2024/8/21,0.454,2024/8/27,10,季配息,"1, 4, 7, 10",36.1
00754B,群益AAA-AA公司債,2024,2024/5/17,0.425,2024/5/25,7,季配息,"1, 4, 7, 10",34.72
00754B,群益AAA-AA公司債,2024,2024/2/27,0.418,2024/3/5,4,季配息,"1, 4, 7, 10",34.72
00755B,群益投資級公用債,2024,2024/11/21,0.46,2024/11/27,12,季配息,"3, 6, 9, 12",34.72
00755B,群益投資級公用債,2024,2024/8/21,0.468,2024/8/27,9,季配息,"3, 6, 9, 12",34.72
00755B,群益投資級公用債,2024,2024/5/17,0.452,2024/5/25,6,季配息,"3, 6, 9, 12",36.79
00755B,群益投資級公用債,2024,2024/2/27,0.434,2024/3/5,3,季配息,"3, 6, 9, 12",36.79
00756B,群益投等新興公債,2024,2024/11/21,0.498,2024/11/27,11,季配息,"2, 5, 8, 11",36.79
00756B,群益投等新興公債,2024,2024/8/21,0.505,2024/8/27,8,季配息,"2, 5, 8, 11",36.79
00756B,群益投等新興公債,2024,2024/5/17,0.507,2024/5/25,5,季配息,"2, 5, 8, 11",35.12
00756B,群益投等新興公債,2024,2024/2/27,0.479,2024/3/5,2,季配息,"2, 5, 8, 11",35.12
00758B,復華能源債,2024,2024/11/19,0.6,2024/11/25,11,季配息,"2, 5, 8, 11",35.12
00758B,復華能源債,2024,2024/8/20,0.6,2024/8/26,8,季配息,"2, 5, 8, 11",35.12
00758B,復華能源債,2024,2024/5/22,0.59,2024/5/28,5,季配息,"2, 5, 8, 11",32.81
00758B,復華能源債,2024,2024/2/29,0.59,2024/3/6,2,季配息,"2, 5, 8, 11",32.81
00759B,復華製藥債,2024,2024/11/19,0.62,2024/11/25,11,季配息,"2, 5, 8, 11",32.81
00759B,復華製藥債,2024,2024/8/20,0.64,2024/8/26,8,季配息,"2, 5, 8, 11",32.81
00759B,復華製藥債,2024,2024/5/22,0.61,2024/5/28,5,季配息,"2, 5, 8, 11",53.9
00759B,復華製藥債,2024,2024/2/29,0.6,2024/3/6,2,季配息,"2, 5, 8, 11",53.9
00760B,復華新興企業債,2024,2024/11/19,0.71,2024/11/25,11,季配息,"2, 5, 8, 11",53.9
00760B,復華新興企業債,2024,2024/8/20,0.71,2024/8/26,8,季配息,"2, 5, 8, 11",53.9
00760B,復華新興企業債,2024,2024/5/22,0.71,2024/5/28,5,季配息,"2, 5, 8, 11",58.25
00760B,復華新興企業債,2024,2024/2/29,0.71,2024/3/6,2,季配息,"2, 5, 8, 11",58.25
00761B,國泰A級公司債,2024,2024/11/18,0.5,2024/11/24,11,季配息,"2, 5, 8, 11",58.25
00761B,國泰A級公司債,2024,2024/8/16,0.48,2024/8/24,8,季配息,"2, 5, 8, 11",58.25
00761B,國泰A級公司債,2024,2024/5/17,0.48,2024/5/25,5,季配息,"2, 5, 8, 11",56.1
00761B,國泰A級公司債,2024,2024/2/27,0.48,2024/3/5,2,季配息,"2, 5, 8, 11",56.1
00764B,群益25年美債,2024,2024/12/20,0.362,2024/12/28,11,季配息,"2, 5, 8, 11",56.1
00764B,群益25年美債,2024,2024/9/23,0.362,2024/9/29,8,季配息,"2, 5, 8, 11",56.1
00764B,群益25年美債,2024,2024/6/24,0.266,2024/6/30,5,季配息,"2, 5, 8, 11",37.07
00764B,群益25年美債,2024,2024/3/18,0.209,2024/3/24,2,季配息,"2, 5, 8, 11",37.07
770,國泰北美科技,2024,2025/1/17,4,2025/1/25,11,季配息,"2, 5, 8, 11",37.07
771,元大US高息特別股,2024,2024/11/18,0.22,2024/11/24,8,季配息,"2, 5, 8, 11",37.07
771,元大US高息特別股,2024,2024/8/16,0.22,2024/8/24,5,季配息,"2, 5, 8, 11",31.18
771,元大US高息特別股,2024,2024/5/17,0.21,2024/5/25,2,季配息,"2, 5, 8, 11",31.18
771,元大US高息特別股,2024,2024/2/27,0.2,2024/3/5,12,季配息,"3, 6, 9, 12",31.18
00772B,中信高評級公司債,2024,2025/1/17,0.13,2025/1/25,9,季配息,"3, 6, 9, 12",31.18
00772B,中信高評級公司債,2024,2024/12/17,0.145,2024/12/23,6,季配息,"3, 6, 9, 12",47.38
00772B,中信高評級公司債,2024,2024/11/18,0.135,2024/11/24,3,季配息,"3, 6, 9, 12",17.72
00772B,中信高評級公司債,2024,2024/10/17,0.143,2024/10/23,1,一年配,1,17.72
00772B,中信高評級公司債,2024,2024/9/18,0.143,2024/9/24,11,季配息,"2, 5, 8, 11",17.72
00772B,中信高評級公司債,2024,2024/8/16,0.143,2024/8/24,8,季配息,"2, 5, 8, 11",17.72
00772B,中信高評級公司債,2024,2024/7/16,0.14,2024/7/22,5,季配息,"2, 5, 8, 11",36.13
00772B,中信高評級公司債,2024,2024/6/20,0.137,2024/6/26,2,季配息,"2, 5, 8, 11",36.13
00772B,中信高評級公司債,2024,2024/5/17,0.136,2024/5/25,1,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00772B,中信高評級公司債,2024,2024/4/18,0.135,2024/4/24,12,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00772B,中信高評級公司債,2024,2024/3/18,0.13,2024/3/24,11,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00772B,中信高評級公司債,2024,2024/2/27,0.13,2024/3/5,10,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00773B,中信優先金融債,2024,2025/1/17,0.138,2025/1/25,9,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00773B,中信優先金融債,2024,2024/12/17,0.145,2024/12/23,8,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00773B,中信優先金融債,2024,2024/11/18,0.138,2024/11/24,7,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00773B,中信優先金融債,2024,2024/10/17,0.135,2024/10/23,6,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00773B,中信優先金融債,2024,2024/9/18,0.145,2024/9/24,5,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00773B,中信優先金融債,2024,2024/8/16,0.153,2024/8/24,4,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",36.13
00773B,中信優先金融債,2024,2024/7/16,0.15,2024/7/22,3,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00773B,中信優先金融債,2024,2024/6/20,0.139,2024/6/26,2,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00773B,中信優先金融債,2024,2024/5/17,0.145,2024/5/25,1,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00773B,中信優先金融債,2024,2024/4/18,0.142,2024/4/24,12,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00773B,中信優先金融債,2024,2024/3/18,0.136,2024/3/24,11,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00773B,中信優先金融債,2024,2024/2/27,0.14,2024/3/5,10,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00775B,新光投等債15+,2024,2024/11/20,0.57,2024/11/26,9,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00775B,新光投等債15+,2024,2024/8/20,0.43,2024/8/26,8,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00775B,新光投等債15+,2024,2024/5/21,0.32,2024/5/27,7,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00775B,新光投等債15+,2024,2024/3/1,0.145,2024/3/9,6,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00777B,凱基AAA至A公司債,2024,2025/1/17,0.145,2025/1/25,5,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00777B,凱基AAA至A公司債,2024,2024/12/17,0.43,2024/12/23,4,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",37.89
00777B,凱基AAA至A公司債,2024,2024/9/19,0.425,2024/9/25,3,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",34.32
00777B,凱基AAA至A公司債,2024,2024/6/20,0.395,2024/6/26,2,月月配,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",34.32
00777B,凱基AAA至A公司債,2024,2024/3/18,0.395,2024/3/24,11,不定期,"3, 5, 8, 11",34.32
00778B,凱基金融債20+,2024,2025/1/17,0.145,2025/1/25,8,不定期,"3, 5, 8, 11",34.32
00778B,凱基金融債20+,2024,2024/12/17,0.435,2024/12/23,5,不定期,"3, 5, 8, 11",35.51
00778B,凱基金融債20+,2024,2024/9/19,0.46,2024/9/25,3,不定期,"3, 5, 8, 11",35.51
00778B,凱基金融債20+,2024,2024/6/20,0.415,2024/6/26,1,不定期,"1, 3, 6, 9, 12",35.51
00778B,凱基金融債20+,2024,2024/3/18,0.405,2024/3/24,12,不定期,"1, 3, 6, 9, 12",35.51
00779B,凱基美債25+,2024,2024/12/17,0.285,2024/12/23,9,不定期,"1, 3, 6, 9, 12",35.51
00779B,凱基美債25+,2024,2024/9/19,0.283,2024/9/25,6,不定期,"1, 3, 6, 9, 12",37.04
00779B,凱基美債25+,2024,2024/6/20,0.285,2024/6/26,3,不定期,"1, 3, 6, 9, 12",37.04
00779B,凱基美債25+,2024,2024/3/18,0.25,2024/3/24,1,不定期,"1, 3, 6, 9, 12",37.04
00780B,國泰A級金融債,2024,2024/11/18,0.39,2024/11/24,12,不定期,"1, 3, 6, 9, 12",37.04
00780B,國泰A級金融債,2024,2024/8/16,0.37,2024/8/24,9,不定期,"1, 3, 6, 9, 12",37.04
00780B,國泰A級金融債,2024,2024/5/17,0.38,2024/5/25,6,不定期,"1, 3, 6, 9, 12",31.39
00780B,國泰A級金融債,2024,2024/2/27,0.28,2024/3/5,3,不定期,"1, 3, 6, 9, 12",31.39
00781B,國泰A級科技債,2024,2024/12/17,0.5,2024/12/23,12,季配息,"3, 6, 9, 12",31.39
00781B,國泰A級科技債,2024,2024/9/18,0.42,2024/9/24,9,季配息,"3, 6, 9, 12",31.39
00781B,國泰A級科技債,2024,2024/6/20,0.42,2024/6/26,6,季配息,"3, 6, 9, 12",38.6
00781B,國泰A級科技債,2024,2024/3/18,0.42,2024/3/24,3,季配息,"3, 6, 9, 12",38.6
00782B,國泰A級公用債,2024,2025/1/17,0.5,2025/1/25,11,季配息,"2, 5, 8, 11",38.6
00782B,國泰A級公用債,2024,2024/4/18,0.37,2024/4/26,8,季配息,"2, 5, 8, 11",38.6
00782B,國泰A級公用債,2024,2024/10/17,0.5,2024/10/25,5,季配息,"2, 5, 8, 11",32.37
00782B,國泰A級公用債,2024,2024/7/16,0.41,2024/7/22,2,季配息,"2, 5, 8, 11",32.37
00784B,富邦中國投等債,2024,2025/1/17,0.345,2025/1/25,12,季配息,"3, 6, 9, 12",32.37
00784B,富邦中國投等債,2024,2024/10/17,0.26,2024/10/23,9,季配息,"3, 6, 9, 12",32.37
00784B,富邦中國投等債,2024,2024/7/16,0.228,2024/7/22,6,季配息,"3, 6, 9, 12",33.24
00784B,富邦中國投等債,2024,2024/4/18,0.209,2024/4/24,3,季配息,"3, 6, 9, 12",33.24
00785B,富邦金融投等債,2024,2025/1/17,0.454,2025/1/25,1,季配息,"1, 4, 7, 10",33.24
00785B,富邦金融投等債,2024,2024/10/17,0.44,2024/10/23,4,季配息,"1, 4, 7, 10",33.24
00785B,富邦金融投等債,2024,2024/7/16,0.426,2024/7/22,10,季配息,"1, 4, 7, 10",39.73
00785B,富邦金融投等債,2024,2024/4/18,0.47,2024/4/24,7,季配息,"1, 4, 7, 10",39.73
00786B,元大10年IG銀行債,2024,2024/11/18,0.42,2024/11/24,1,季配息,"1, 4, 7, 10",39.73
00786B,元大10年IG銀行債,2024,2024/8/16,0.515,2024/8/24,10,季配息,"1, 4, 7, 10",39.73
00786B,元大10年IG銀行債,2024,2024/5/17,0.5,2024/5/25,7,季配息,"1, 4, 7, 10",36.85
00786B,元大10年IG銀行債,2024,2024/2/27,0.52,2024/3/5,4,季配息,"1, 4, 7, 10",36.85
00787B,元大10年IG醫療債,2024,2024/12/17,0.5,2024/12/23,1,季配息,"1, 4, 7, 10",36.85
00787B,元大10年IG醫療債,2024,2024/9/18,0.5,2024/9/24,10,季配息,"1, 4, 7, 10",36.85
00787B,元大10年IG醫療債,2024,2024/6/20,0.55,2024/6/26,7,季配息,"1, 4, 7, 10",34.3
00787B,元大10年IG醫療債,2024,2024/3/18,0.52,2024/3/24,4,季配息,"1, 4, 7, 10",34.3
00788B,元大10年IG電能債,2024,2025/1/17,0.46,2025/1/25,11,季配息,"2, 5, 8, 11",34.3
00788B,元大10年IG電能債,2024,2024/10/17,0.45,2024/10/23,8,季配息,"2, 5, 8, 11",34.3
00788B,元大10年IG電能債,2024,2024/7/16,0.49,2024/7/22,5,季配息,"2, 5, 8, 11",34.97
00788B,元大10年IG電能債,2024,2024/4/18,0.48,2024/4/24,2,季配息,"2, 5, 8, 11",34.97
00789B,復華公司債A3,2024,2025/1/16,0.62,2025/1/22,12,季配息,"3, 6, 9, 12",34.97
00789B,復華公司債A3,2024,2024/10/22,0.6,2024/10/28,9,季配息,"3, 6, 9, 12",34.97
00789B,復華公司債A3,2024,2024/7/17,0.626,2024/7/23,6,季配息,"3, 6, 9, 12",32.01
00789B,復華公司債A3,2024,2024/4/23,0.605,2024/4/29,3,季配息,"3, 6, 9, 12",32.01
00790B,復華次順位金融債,2024,2025/1/16,0.61,2025/1/22,1,季配息,"1, 4, 7, 10",32.01
00790B,復華次順位金融債,2024,2024/10/22,0.61,2024/10/28,10,季配息,"1, 4, 7, 10",32.01
00790B,復華次順位金融債,2024,2024/7/17,0.59,2024/7/23,7,季配息,"1, 4, 7, 10",52.8
00790B,復華次順位金融債,2024,2024/4/23,0.588,2024/4/29,4,季配息,"1, 4, 7, 10",52.8
00791B,復華信用債1-5,2024,2025/1/16,0.572,2025/1/22,1,季配息,"1, 4, 7, 10",52.8
00791B,復華信用債1-5,2024,2024/10/22,0.562,2024/10/28,10,季配息,"1, 4, 7, 10",52.8
00791B,復華信用債1-5,2024,2024/7/17,0.556,2024/7/23,7,季配息,"1, 4, 7, 10",57.55
00791B,復華信用債1-5,2024,2024/4/23,0.544,2024/4/29,4,季配息,"1, 4, 7, 10",57.55
00792B,群益A級公司債,2024,2024/12/20,0.441,2024/12/28,1,季配息,"1, 4, 7, 10",57.55
00792B,群益A級公司債,2024,2024/9/23,0.437,2024/9/29,10,季配息,"1, 4, 7, 10",57.55
00792B,群益A級公司債,2024,2024/6/24,0.448,2024/6/30,7,季配息,"1, 4, 7, 10",58.4
00792B,群益A級公司債,2024,2024/3/18,0.399,2024/3/24,4,季配息,"1, 4, 7, 10",58.4
00793B,群益AAA-A醫療債,2024,2024/12/20,0.429,2024/12/28,1,季配息,"1, 4, 7, 10",58.4
00793B,群益AAA-A醫療債,2024,2024/9/23,0.436,2024/9/29,10,季配息,"1, 4, 7, 10",58.4
00793B,群益AAA-A醫療債,2024,2024/6/24,0.427,2024/6/30,7,季配息,"1, 4, 7, 10",34.37
00793B,群益AAA-A醫療債,2024,2024/3/18,0.331,2024/3/24,4,季配息,"1, 4, 7, 10",34.37
00794B,群益7+中國政金債,2024,2024/11/21,0.35,2024/11/27,12,季配息,"3, 6, 9, 12",34.37
00794B,群益7+中國政金債,2024,2024/8/21,0.38,2024/8/27,9,季配息,"3, 6, 9, 12",34.37
00794B,群益7+中國政金債,2024,2024/5/17,0.397,2024/5/25,6,季配息,"3, 6, 9, 12",33.4
00794B,群益7+中國政金債,2024,2024/2/27,0.402,2024/3/5,3,季配息,"3, 6, 9, 12",33.4
00795B,中信美國公債20年,2024,2024/11/18,0.4,2024/11/24,12,季配息,"3, 6, 9, 12",33.4
00795B,中信美國公債20年,2024,2024/8/16,0.4,2024/8/24,9,季配息,"3, 6, 9, 12",33.4
00795B,中信美國公債20年,2024,2024/5/17,0.38,2024/5/25,6,季配息,"3, 6, 9, 12",42.55
00795B,中信美國公債20年,2024,2024/2/27,0.35,2024/3/5,3,季配息,"3, 6, 9, 12",42.55
00799B,國泰A級醫療債,2024,2024/11/18,0.5,2024/11/24,11,季配息,"2, 5, 8, 11",42.55
00799B,國泰A級醫療債,2024,2024/8/16,0.45,2024/8/24,8,季配息,"2, 5, 8, 11",42.55
00799B,國泰A級醫療債,2024,2024/5/17,0.43,2024/5/25,5,季配息,"2, 5, 8, 11",29.91
00799B,國泰A級醫療債,2024,2024/2/27,0.43,2024/3/5,2,季配息,"2, 5, 8, 11",29.91
830,國泰費城半導體,2024,2025/1/17,3.96,2025/1/25,11,季配息,"2, 5, 8, 11",29.91
00834B,第一金金融債10+,2024,2025/1/22,0.371,2025/1/28,8,季配息,"2, 5, 8, 11",29.91
00834B,第一金金融債10+,2024,2024/10/22,0.407,2024/10/28,5,季配息,"2, 5, 8, 11",32.72
00834B,第一金金融債10+,2024,2024/7/19,0.398,2024/7/27,2,季配息,"2, 5, 8, 11",32.72
00834B,第一金金融債10+,2024,2024/4/22,0.4,2024/4/28,11,季配息,"2, 5, 8, 11",32.72
00836B,永豐10年A公司債,2024,2024/12/24,0.43,2024/12/30,8,季配息,"2, 5, 8, 11",32.72
00836B,永豐10年A公司債,2024,2024/9/20,0.38,2024/9/28,5,季配息,"2, 5, 8, 11",42.32
00836B,永豐10年A公司債,2024,2024/6/25,0.34,2024/7/1,2,季配息,"2, 5, 8, 11",36
00836B,永豐10年A公司債,2024,2024/3/21,0.385,2024/3/27,1,一年配,1,36
00840B,凱基IG精選15+,2024,2025/1/17,0.13,2025/1/25,1,季配息,"1, 4, 7, 10",36
00840B,凱基IG精選15+,2024,2024/12/17,0.12,2024/12/23,10,季配息,"1, 4, 7, 10",36
00840B,凱基IG精選15+,2024,2024/11/18,0.325,2024/11/24,7,季配息,"1, 4, 7, 10",31.23
00840B,凱基IG精選15+,2024,2024/8/16,0.355,2024/8/24,4,季配息,"1, 4, 7, 10",31.23
00840B,凱基IG精選15+,2024,2024/5/17,0.33,2024/5/25,12,季配息,"3, 6, 9, 12",31.23
00840B,凱基IG精選15+,2024,2024/2/27,0.33,2024/3/5,9,季配息,"3, 6, 9, 12",31.23
00841B,凱基AAA-AA公司債,2024,2024/11/18,0.34,2024/11/24,6,季配息,"3, 6, 9, 12",32.37
